user_id,login_id,email,first_name,last_name,pronoun,declared_user_type,status
578511205,philip.ramirez@canvas.test,philip.ramirez@canvas.test,Philip,Ramirez,,student,active
756693831,rachel.richardson@canvas.test,rachel.richardson@canvas.test,Rachel,Richardson,she/her,student,active
798667808,toni.pope@canvas.test,toni.pope@canvas.test,Toni,Pope,['xe/xyr'],student,active
781082609,krista.oconnell@canvas.test,krista.oconnell@canvas.test,Krista,Oconnell,,student,active
093654881,phyllis.williams@canvas.test,phyllis.williams@canvas.test,Phyllis,Williams,she/her,student,active
189213196,julia.lopez@canvas.test,julia.lopez@canvas.test,Julia,Lopez,['they/them'],student,active
793346527,cody.french@canvas.test,cody.french@canvas.test,Cody,French,he/him,student,active
709384109,mary.wood@canvas.test,mary.wood@canvas.test,Mary,Wood,she/her,student,active
618236430,philip.butler@canvas.test,philip.butler@canvas.test,Philip,Butler,['xe/xyr'],student,active
217115655,rose.knight@canvas.test,rose.knight@canvas.test,Rose,Knight,['they/them'],student,active
955669640,stacey.osborne@canvas.test,stacey.osborne@canvas.test,Stacey,Osborne,she/her,student,active
963177491,timothy.martinez@canvas.test,timothy.martinez@canvas.test,Timothy,Martinez,,student,active
392178695,christopher.black@canvas.test,christopher.black@canvas.test,Christopher,Black,he/him,student,active
257490688,allison.lee@canvas.test,allison.lee@canvas.test,Allison,Lee,she/her,student,active
366414829,jennifer.roberts@canvas.test,jennifer.roberts@canvas.test,Jennifer,Roberts,she/her,student,active
371051517,tiffany.ross@canvas.test,tiffany.ross@canvas.test,Tiffany,Ross,she/her,student,active
007932285,david.williams@canvas.test,david.williams@canvas.test,David,Williams,he/him,student,active
082878219,gina.robinson@canvas.test,gina.robinson@canvas.test,Gina,Robinson,she/her,student,active
667157017,robert.cabrera@canvas.test,robert.cabrera@canvas.test,Robert,Cabrera,he/him,student,active
209830929,sara.coleman@canvas.test,sara.coleman@canvas.test,Sara,Coleman,,student,active
239750753,tonya.case@canvas.test,tonya.case@canvas.test,Tonya,Case,she/her,student,active
783295087,tiffany.mcfarland@canvas.test,tiffany.mcfarland@canvas.test,Tiffany,Mcfarland,,student,active
918283421,allison.mitchell@canvas.test,allison.mitchell@canvas.test,Allison,Mitchell,she/her,student,active
067850948,michelle.jacobs@canvas.test,michelle.jacobs@canvas.test,Michelle,Jacobs,she/her,student,active
876753782,katherine.ball@canvas.test,katherine.ball@canvas.test,Katherine,Ball,,student,active
022848245,erin.vargas@canvas.test,erin.vargas@canvas.test,Erin,Vargas,['xe/xyr'],student,active
526330120,connie.moore@canvas.test,connie.moore@canvas.test,Connie,Moore,she/her,student,active
604139719,angela.hernandez@canvas.test,angela.hernandez@canvas.test,Angela,Hernandez,she/her,student,active
320617127,john.walters@canvas.test,john.walters@canvas.test,John,Walters,he/him,student,active
770701401,kevin.landry@canvas.test,kevin.landry@canvas.test,Kevin,Landry,he/him,student,active
563957795,kelly.valdez@canvas.test,kelly.valdez@canvas.test,Kelly,Valdez,she/her,student,active
798796599,terry.scott@canvas.test,terry.scott@canvas.test,Terry,Scott,['they/them'],student,active
389072687,tiffany.herring@canvas.test,tiffany.herring@canvas.test,Tiffany,Herring,['xe/xyr'],student,active
891928301,kevin.peck@canvas.test,kevin.peck@canvas.test,Kevin,Peck,['xe/xyr'],student,active
598804196,joseph.preston@canvas.test,joseph.preston@canvas.test,Joseph,Preston,he/him,student,deleted
120318441,chris.carter@canvas.test,chris.carter@canvas.test,Chris,Carter,,student,active
889827173,glenn.walsh@canvas.test,glenn.walsh@canvas.test,Glenn,Walsh,['xe/xyr'],teacher,active
287933742,joshua.wilson@canvas.test,joshua.wilson@canvas.test,Joshua,Wilson,he/him,student,active
621662707,erika.reyes@canvas.test,erika.reyes@canvas.test,Erika,Reyes,,student,active
305149831,jordan.lee@canvas.test,jordan.lee@canvas.test,Jordan,Lee,he/him,student,deleted
280364895,christina.espinoza@canvas.test,christina.espinoza@canvas.test,Christina,Espinoza,['they/them'],student,active
003364477,gail.bowman@canvas.test,gail.bowman@canvas.test,Gail,Bowman,she/her,student,active
915358600,carol.fischer@canvas.test,carol.fischer@canvas.test,Carol,Fischer,she/her,student,active
640650382,jessica.huber@canvas.test,jessica.huber@canvas.test,Jessica,Huber,she/her,student,active
790834747,betty.jones@canvas.test,betty.jones@canvas.test,Betty,Jones,['xe/xyr'],student,active
699886287,david.phillips@canvas.test,david.phillips@canvas.test,David,Phillips,he/him,student,active
356534489,joseph.herrera@canvas.test,joseph.herrera@canvas.test,Joseph,Herrera,['xe/xyr'],student,active
718057514,david.roberts@canvas.test,david.roberts@canvas.test,David,Roberts,he/him,student,active
688957465,elizabeth.ward@canvas.test,elizabeth.ward@canvas.test,Elizabeth,Ward,she/her,student,active
259122860,anita.lewis@canvas.test,anita.lewis@canvas.test,Anita,Lewis,she/her,student,active
760290225,david.barnes@canvas.test,david.barnes@canvas.test,David,Barnes,he/him,student,active
106378409,marilyn.berry@canvas.test,marilyn.berry@canvas.test,Marilyn,Berry,she/her,student,active
030617508,daniel.long@canvas.test,daniel.long@canvas.test,Daniel,Long,,student,active
671316290,dana.patel@canvas.test,dana.patel@canvas.test,Dana,Patel,['they/them'],student,active
325930327,holly.williams@canvas.test,holly.williams@canvas.test,Holly,Williams,,student,active
599816387,gabriella.ortega@canvas.test,gabriella.ortega@canvas.test,Gabriella,Ortega,['xe/xyr'],student,active
889435445,eric.adams@canvas.test,eric.adams@canvas.test,Eric,Adams,he/him,student,active
991711348,steven.wilson@canvas.test,steven.wilson@canvas.test,Steven,Wilson,he/him,student,active
750510866,karen.smith@canvas.test,karen.smith@canvas.test,Karen,Smith,['ze/zir'],student,active
642988862,david.frank@canvas.test,david.frank@canvas.test,David,Frank,he/him,student,active
354651425,gloria.lee@canvas.test,gloria.lee@canvas.test,Gloria,Lee,she/her,student,active
